,year,make,model,search,path_,path_to
207,2021,volkswagen,passat,volkswagen_passat_2021,volkswagen_passat_2021.jpg,volkswagen_passat_2021
208,2019,hyundai,sonata,hyundai_sonata_2019,hyundai_sonata_2019.jpg,hyundai_sonata_2019
209,2020,genesis,g70,genesis_g70_2020,genesis_g70_2020.jpg,genesis_g70_2020
210,2016,honda,civic,honda_civic_2016,honda_civic_2016.jpg,honda_civic_2016
211,2018,ford,fusion,ford_fusion_2018,ford_fusion_2018.jpg,ford_fusion_2018
212,2021,volkswagen,arteon,volkswagen_arteon_2021,volkswagen_arteon_2021.jpg,volkswagen_arteon_2021
213,2019,lexus,es,lexus_es_2019,lexus_es_2019.jpg,lexus_es_2019
214,2017,mercedes-benz,c class,mercedes-benz_c-class_2017,mercedes-benz_c-class_2017.jpg,mercedes-benz_c-class_2017
215,2017,acura,tlx,acura_tlx_2017,acura_tlx_2017.jpg,acura_tlx_2017
216,2019,kia,stinger,kia_stinger_2019,kia_stinger_2019.jpg,kia_stinger_2019
217,2022,mercedes-benz,a class,mercedes-benz_a-class_2022,mercedes-benz_a-class_2022.jpg,mercedes-benz_a-class_2022
218,2018,mercedes-benz,s class,mercedes-benz_s-class_2018,mercedes-benz_s-class_2018.jpg,mercedes-benz_s-class_2018
219,2016,lexus,is,lexus_is_2016,lexus_is_2016.jpg,lexus_is_2016
220,2018,mercedes-benz,c class,mercedes-benz_c-class_2018,mercedes-benz_c-class_2018.jpg,mercedes-benz_c-class_2018
221,2019,bmw,3 series,bmw_3-series_2019,bmw_3-series_2019.jpg,bmw_3-series_2019
222,2016,mercedes-benz,c class,mercedes-benz_c-class_2016,mercedes-benz_c-class_2016.jpg,mercedes-benz_c-class_2016
223,2020,cadillac,ct5,cadillac_ct5_2020,cadillac_ct5_2020.jpg,cadillac_ct5_2020
224,2023,mercedes-benz,c class,mercedes-benz_c-class_2023,mercedes-benz_c-class_2023.jpg,mercedes-benz_c-class_2023
225,2016,volkswagen,passat,volkswagen_passat_2016,volkswagen_passat_2016.jpg,volkswagen_passat_2016
226,2016,bmw,3 series,bmw_3-series_2016,bmw_3-series_2016.jpg,bmw_3-series_2016
227,2022,toyota,avalon,toyota_avalon_2022,toyota_avalon_2022.jpg,toyota_avalon_2022
228,2012,acura,tl,acura_tl_2012,acura_tl_2012.jpg,acura_tl_2012
229,2019,lexus,gs,lexus_gs_2019,lexus_gs_2019.jpg,lexus_gs_2019
230,2019,acura,ilx,acura_ilx_2019,acura_ilx_2019.jpg,acura_ilx_2019
231,2018,lexus,gs,lexus_gs_2018,lexus_gs_2018.jpg,lexus_gs_2018
232,2020,audi,a3,audi_a3_2020,audi_a3_2020.jpg,audi_a3_2020
233,2018,alfa-romeo,giulia,alfa-romeo_giulia_2018,alfa-romeo_giulia_2018.jpg,alfa-romeo_giulia_2018
234,2015,chevrolet,impala,chevrolet_impala_2015,chevrolet_impala_2015.jpg,chevrolet_impala_2015
235,2013,cadillac,ats,cadillac_ats_2013,cadillac_ats_2013.jpg,cadillac_ats_2013
236,2015,chrysler,200,chrysler_200_2015,chrysler_200_2015.jpg,chrysler_200_2015
237,2016,ford,taurus,ford_taurus_2016,ford_taurus_2016.jpg,ford_taurus_2016
238,2017,audi,a4,audi_a4_2017,audi_a4_2017.jpg,audi_a4_2017
239,2018,volkswagen,passat,volkswagen_passat_2018,volkswagen_passat_2018.jpg,volkswagen_passat_2018
240,2016,bmw,5 series,bmw_5-series_2016,bmw_5-series_2016.jpg,bmw_5-series_2016
241,2012,honda,accord,honda_accord_2012,honda_accord_2012.jpg,honda_accord_2012
242,2017,mercedes-benz,s class,mercedes-benz_s-class_2017,mercedes-benz_s-class_2017.jpg,mercedes-benz_s-class_2017
243,2023,subaru,wrx,subaru_wrx_2023,subaru_wrx_2023.jpg,subaru_wrx_2023
244,2019,audi,a3,audi_a3_2019,audi_a3_2019.jpg,audi_a3_2019
245,2016,lincoln,mkz,lincoln_mkz_2016,lincoln_mkz_2016.jpg,lincoln_mkz_2016
246,2017,buick,lacrosse,buick_lacrosse_2017,buick_lacrosse_2017.jpg,buick_lacrosse_2017
247,2013,toyota,camry,toyota_camry_2013,toyota_camry_2013.jpg,toyota_camry_2013
248,2018,audi,s4,audi_s4_2018,audi_s4_2018.jpg,audi_s4_2018
249,2014,chevrolet,impala,chevrolet_impala_2014,chevrolet_impala_2014.jpg,chevrolet_impala_2014
250,2018,tesla,model s,tesla_model-s_2018,tesla_model-s_2018.jpg,tesla_model-s_2018
251,2021,audi,a4,audi_a4_2021,audi_a4_2021.jpg,audi_a4_2021
252,2017,nissan,altima,nissan_altima_2017,nissan_altima_2017.jpg,nissan_altima_2017
253,2017,tesla,model s,tesla_model-s_2017,tesla_model-s_2017.jpg,tesla_model-s_2017
254,2020,mercedes-benz,cla,mercedes-benz_cla_2020,mercedes-benz_cla_2020.jpg,mercedes-benz_cla_2020
255,2023,kia,rio,kia_rio_2023,kia_rio_2023.jpg,kia_rio_2023
256,2020,chevrolet,equinox,chevrolet_equinox_2020,chevrolet_equinox_2020.jpg,chevrolet_equinox_2020
257,2023,kia,sportage,kia_sportage_2023,kia_sportage_2023.jpg,kia_sportage_2023
